11 Com b,12.1,19
11 UMi b,12.3,29.79
14 And b,12.9,11
14 Her b,12.6,0.93
16 Cyg B b,13.5,1.13
17 Sco b,12.9,25.92
18 Del b,12.5,8.5
24 Boo b,13.9,10.64
24 Sex b,13.4,4.9
24 Sex c,13.9,4.9
30 Ari B b,12.3,1.41
4 UMa b,12.7,18.11
42 Dra b,13,22.03
47 UMa b,13.2,1.21
47 UMa c,14.2,1.21
47 UMa d,13.5,1.21
51 Peg b,14.3,1.18
55 Cnc b,13.9,0.94
55 Cnc c,8.51,0.94
55 Cnc d,13,0.94
55 Cnc e,1.875,0.94
55 Cnc f,7.59,0.94
6 Lyn b,13.4,5.2
61 Vir b,2.11,0.96
61 Vir c,4.46,0.96
61 Vir d,5.11,0.96
7 CMa b,13.4,4.87
7 CMa c,13.9,4.87
70 Vir b,12.6,1.89
75 Cet b,13.1,10.5
8 UMi b,13.6,10.3
81 Cet b,12.8,11
91 Aqr b,13.1,11
BD+03 2562 b,12.7,32.35
BD+14 4559 b,13.8,0.86
BD+15 2375 b,13.8,8.95
BD+15 2940 b,13.7,14.7
BD+20 2457 b,12.1,49
BD+20 2457 c,12.4,49
BD+20 274 b,13,17.3
BD+45 564 b,13.6,0.81
BD+48 738 b,13.9,11
BD+48 740 b,13.5,10.33
BD+49 828 b,13.5,7.6
BD+55 362 b,14,0.9
BD+63 1405 b,12.4,0.8
BD-00 4475 b,12,0.84
BD-06 1339 b,2.85,0.69
BD-06 1339 c,8.38,0.69
BD-08 2823 b,3.61,0.71
BD-08 2823 c,12.5,0.72
BD-10 3166 b,14.1,0.91
BD-11 4672 b,14.1,0.64
BD-11 4672 c,4.04,0.64
BD-13 2130 b,12.5,19.17
BD-17 63 b,12.8,0.69
BD-210397 b,14,0.74
BD-210397 c,13.3,0.74
CD Cet b,1.82,0.17
CI Tau b,12.4,1.88
CoRoT-20 c,12.2,1.37
CoRoT-7 c,2.83,0.86
CoRoT-7 d,4.31,0.84
DMPP-1 b,5.29,1.26
DMPP-1 c,3.06,1.26
DMPP-1 d,1.65,1.26
DMPP-1 e,1.86,1.26
DMPP-2 b,14.3,1.78
DMPP-3 A b,1.41,0.91
G 264-012 b,1.39,0.3
G 264-012 c,1.76,0.3
GJ 1002 b,1.03,0.14
GJ 1002 c,1.1,0.14
GJ 1061 b,1.1,0.16
GJ 1061 c,1.18,0.16
GJ 1061 d,1.16,0.16
GJ 1132 c,1.43,0.21
GJ 1148 b,11.9,0.36
GJ 1148 c,9.71,0.36
GJ 1151 c,3.25,0.18
GJ 1265 b,2.63,0.19
GJ 15 A b,1.55,0.38
GJ 15 A c,6.67,0.38
GJ 160.2 b,3.17,0.66
GJ 163 b,3.25,0.41
GJ 163 c,2.5,0.41
GJ 163 d,5.92,0.41
GJ 179 b,13.8,0.38
GJ 180 b,2.43,0.41
GJ 180 c,2.41,0.41
GJ 180 d,2.66,0.41
GJ 2030 b,2.03,2.24
GJ 2030 c,12.3,2.24
GJ 2056 b,4.17,0.71
GJ 229 A c,2.87,0.46
GJ 229 b,3.97,0.46
GJ 251 b,1.83,0.36
GJ 27.1 b,3.66,0.52
GJ 273 b,1.51,0.29
GJ 273 c,1.06,0.29
GJ 3021 b,13.1,0.9
GJ 3082 b,2.79,0.47
GJ 3138 b,1.18,0.5
GJ 3138 c,1.88,0.5
GJ 3138 d,3.23,0.5
GJ 317 b,13.3,0.43
GJ 317 c,13.5,0.43
GJ 3222 b,3.4,0.93
GJ 328 b,13.3,0.65
GJ 328 c,4.91,0.65
GJ 3293 b,5.19,0.4
GJ 3293 c,4.87,0.4
GJ 3293 d,2.67,0.4
GJ 3293 e,1.63,0.4
GJ 3323 b,1.23,0.12
GJ 3323 c,1.32,0.12
GJ 3341 b,2.46,0.44
GJ 338 B b,3.25,0.58
GJ 3470 b,4.57,0.5
GJ 3473 c,2.63,0.36
GJ 3512 b,14.3,0.14
GJ 3512 c,9.32,0.14
GJ 357 c,1.66,0.34
GJ 357 d,2.34,0.34
GJ 3634 b,2.83,0.43
GJ 3779 b,2.75,0.28
GJ 3929 c,2.26,0.32
GJ 393 b,1.17,0.43
GJ 3942 b,2.57,0.61
GJ 3998 b,1.38,0.49
GJ 3998 c,2.38,0.49
GJ 411 b,1.45,0.37
GJ 414 A b,2.63,0.68
GJ 414 A c,8.4,0.68
GJ 422 b,3.33,0.37
GJ 4276 b,4.22,0.41
GJ 433 b,2.33,0.5
GJ 433 c,6.27,0.47
GJ 433 d,2.14,0.47
GJ 436 b,4.17,0.44
GJ 463 b,13,0.49
GJ 480 b,3.69,0.46
GJ 486 b,1.305,0.33
GJ 514 b,2.13,0.5
GJ 536 b,2.17,0.5
GJ 581 b,4.11,0.33
GJ 581 c,2.21,0.33
GJ 581 e,1.17,0.33
GJ 625 b,1.49,0.31
GJ 649 b,10.8,0.5
GJ 674 b,3.33,0.36
GJ 676 A b,12.8,0.69
GJ 676 A c,12.3,0.65
GJ 676 A d,1.78,0.65
GJ 676 A e,2.47,0.65
GJ 680 b,12,0.46
GJ 682 b,1.93,0.3
GJ 682 c,2.89,0.3
GJ 685 b,2.95,0.54
GJ 687 b,4.32,0.42
GJ 687 c,4.14,0.42
GJ 720 A b,3.77,0.56
GJ 740 b,1.53,0.56
GJ 832 b,13.9,0.44
GJ 849 b,13.9,0.47
GJ 849 c,1.01,0.47
GJ 86 b,12.9,0.77
GJ 876 b,13.3,0.3
GJ 876 c,14,0.3
GJ 876 d,2.51,0.3
GJ 876 e,3.92,0.3
GJ 887 b,1.88,0.47
GJ 887 c,2.67,0.47
GJ 9066 c,9.6,0.16
GJ 96 b,4.67,0.58
GJ 9689 b,3.07,0.57
GJ 9714 b,12.5,0.66
Gl 378 b,3.66,0.56
Gl 49 b,2.24,0.51
Gl 686 b,2.46,0.43
HAT-P-11 c,13.3,0.68
HAT-P-13 c,12.3,1.76
HAT-P-17 c,13.1,0.84
HAT-P-44 c,13,0.95
HATS-59 c,12.3,1.04
HD 100655 b,13.5,10.06
HD 100777 b,13.8,1.04
HD 10180 c,3.68,1.11
HD 10180 d,3.45,1.11
HD 10180 e,5.39,1.11
HD 10180 f,5.24,1.11
HD 10180 g,4.91,1.11
HD 10180 h,9.4,1.11
HD 101930 b,10.6,0.86
HD 102117 b,8.47,1.23
HD 102195 b,14.2,0.82
HD 102272 b,12.9,10.3
HD 102329 b,12.6,9.82
HD 102329 c,13.5,6.3
HD 102365 b,4.14,0.95
HD 102843 b,13.1,0.96
HD 102956 b,13.8,4.55
HD 103197 b,5.83,0.88
HD 103720 b,14.1,0.73
HD 103774 b,13.3,1.58
HD 103891 b,13.2,2.22
HD 103949 b,3.35,0.75
HD 104067 b,8.18,0.74
HD 10442 b,13.6,1.97
HD 104985 b,12.6,11
HD 105618 b,5.44,1.27
HD 105618 c,11.9,1.27
HD 105779 b,14.1,0.94
HD 106252 b,12.5,1.1
HD 106270 b,12.4,2.66
HD 10647 b,13.8,1.1
HD 106515 A b,12.5,0.91
HD 10697 b,12.8,1.86
HD 107148 b,9.6,1.17
HD 107148 c,4.7,1.17
HD 108147 b,10.9,1.21
HD 108341 b,13.3,0.79
HD 108863 b,13.3,5.74
HD 108874 b,13.6,1.05
HD 108874 c,13.8,1.09
HD 109246 b,13.9,1.07
HD 109271 b,4.31,1.29
HD 109271 c,5.27,1.29
HD 109286 b,13.2,1.09
HD 109749 b,11.1,1.22
HD 10975 b,14.3,11.16
HD 109988 b,12.1,0.87
HD 110014 b,12.4,20.9
HD 110113 c,3.23,0.97
HD 110537 b,11.9,1.17
HD 11112 b,12.6,1.47
HD 111232 b,12.6,0.9
HD 111232 c,12.2,0.9
HD 111591 b,12.9,8.03
HD 111998 b,12.9,1.45
HD 112640 b,12.9,39
HD 113337 b,13.1,1.5
HD 113337 c,12.1,1.53
HD 11343 c,13.9,6.78
HD 113538 b,13.2,0.53
HD 113538 c,13.8,0.53
HD 113996 b,12.7,25.11
HD 114082 b,11.209,1.49
HD 114386 b,13.7,0.76
HD 114613 b,13.1,2.14
HD 114729 b,13.9,1.47
HD 114783 b,13.7,0.84
HD 114783 c,14.1,0.84
HD 11505 b,12.6,1.2
HD 11506 b,12.9,1.24
HD 11506 c,13.4,1.34
HD 11506 d,12.6,1.24
HD 115404 A b,6.09,0.73
HD 115404 A c,12.5,0.73
HD 115954 b,12.6,1.21
HD 116029 b,13.6,4.89
HD 116029 c,13.7,4.6
HD 117207 b,13.4,1.07
HD 11755 b,12.8,20.58
HD 117618 b,8.59,1.2
HD 118203 b,13.138,2.06
HD 11964 b,14.1,2.01
HD 11964 c,5.38,2.01
HD 11977 b,12.7,10.09
HD 120084 b,12.8,9.12
HD 121504 b,13.6,1.07
HD 12235 b,3.23,1.8
HD 12235 c,12.5,1.8
HD 122562 c,10.1,2.17
HD 124330 b,14,1.3
HD 12484 b,13.2,1
HD 125271 b,12.4,0.75
HD 125390 b,11.9,6.47
HD 125595 b,2.4,0.74
HD 125612 b,13.2,1.07
HD 125612 c,4.07,1.05
HD 125612 d,12.7,1.05
HD 12648 b,13.4,11.02
HD 126525 b,10.3,0.98
HD 12661 b,13.3,1.2
HD 12661 c,13.4,1.11
HD 126614 b,12.7,1.37
HD 127506 b,5.67,0.74
HD 128311 b,13.5,0.76
HD 128311 c,13,0.76
HD 128356 b,13.9,0.85
HD 129445 b,13.3,1.18
HD 130322 b,13.7,0.85
HD 131496 b,13.4,4.44
HD 13167 b,13.1,2.39
HD 13189 b,12.4,38.41
HD 132406 b,12.7,1.34
HD 132563 b,13.6,1.3
HD 133131 A b,13.6,0.96
HD 133131 A c,14.3,0.96
HD 133131 B b,13.3,0.99
HD 134060 b,3.16,1.16
HD 134060 c,5.91,1.16
HD 134987 b,13.5,1.22
HD 134987 c,13.9,1.25
HD 135872 b,12.8,3.93
HD 136118 b,12.3,1.68
HD 136352 b,1.664,1.06
HD 136352 c,2.916,1.06
HD 136352 d,2.562,1.06
HD 136418 b,13.3,3.78
HD 136925 b,13.9,1.19
HD 13724 c,8.18,1.04
HD 137388 b,9.32,0.88
HD 137496 c,12.6,1.59
HD 13808 b,3.35,0.78
HD 13808 c,3.13,0.78
HD 13908 b,13.9,1.67
HD 13908 c,12.8,1.67
HD 13931 b,13.2,1.25
HD 139357 b,12.1,11.47
HD 14067 b,12.2,12.4
HD 140901 b,4.07,0.95
HD 140901 c,12.7,0.95
HD 141004 b,3.77,1.39
HD 141399 b,14.3,1.39
HD 141399 c,13.6,1.39
HD 141399 d,13.7,1.39
HD 141399 e,14.1,1.39
HD 141937 b,12.5,1.03
HD 142 A d,10.9,1.41
HD 142 b,13.7,1.47
HD 142 c,12.4,1.47
HD 142022 A b,12.9,1.04
HD 142245 b,13.1,4.63
HD 142415 b,13.5,1.04
HD 143105 b,13.7,1.65
HD 143361 b,12.9,0.92
HD 144899 b,4.77,1.65
HD 145377 b,12.8,1.05
HD 145457 b,13.3,10.52
HD 145675 c,12.9,1
HD 145934 b,13.4,6.93
HD 1461 b,2.42,1.15
HD 1461 c,2.23,1.15
HD 147018 b,13.4,0.94
HD 147018 c,12.7,0.94
HD 147379 b,5.82,0.63
HD 147513 b,13.7,0.98
HD 14787 b,13.7,5.01
HD 147873 b,12.8,2.29
HD 147873 c,13.3,2.29
HD 148156 b,13.9,1.21
HD 148164 b,13.7,1.34
HD 148164 c,12.8,1.34
HD 148427 b,13.6,3.86
HD 149026 b,8.295,1.41
HD 149143 b,13.6,1.44
HD 149806 b,12.3,0.89
HD 150010 b,13.3,16.2
HD 1502 b,13.2,4.67
HD 150706 b,13.3,0.96
HD 151450 b,6.94,1.17
HD 151450 c,12.8,1.17
HD 152079 b,13.2,1.13
HD 152581 b,13.4,5.14
HD 153557 b,4.77,0.75
HD 153557 c,4.36,0.75
HD 153557 d,11.9,0.75
HD 153950 b,13.2,1.28
HD 154088 b,2.46,0.95
HD 154345 b,13.7,0.85
HD 154672 b,12.8,1.32
HD 154857 b,13.3,2.3
HD 154857 c,13.2,1.76
HD 155193 b,14,1.76
HD 155358 b,13.8,1.38
HD 155358 c,13.9,1.38
HD 155918 b,2.67,1.02
HD 155918 c,12.8,1.02
HD 156098 b,4.12,2.76
HD 156098 c,12.8,2.76
HD 156279 b,12.5,0.95
HD 156279 c,12.5,0.97
HD 156411 b,14,2.16
HD 156668 b,1.87,0.72
HD 156668 c,6.17,0.77
HD 156846 b,12.4,1.9
HD 158038 b,13.5,4.5
HD 158259 b,1.285,1.21
HD 158259 c,2.23,1.21
HD 158259 d,2.18,1.21
HD 158259 e,2.34,1.21
HD 158259 f,2.35,1.21
HD 158996 b,12.3,50.3
HD 159243 b,13.7,1.12
HD 159243 c,13.4,1.12
HD 159868 b,13.3,2.13
HD 159868 c,14,2.13
HD 1605 b,13.8,3.49
HD 1605 c,13,3.49
HD 160691 d,3.17,1.33
HD 161178 b,14.1,10.95
HD 16141 b,10.9,1.48
HD 16175 b,12.8,1.72
HD 162020 b,12.5,0.75
HD 163607 b,13.9,1.76
HD 163607 c,13.3,1.76
HD 16417 b,5,1.64
HD 164509 b,14.3,1.11
HD 164595 b,4.16,1.02
HD 164604 b,13.4,0.77
HD 164922 b,13.3,0.95
HD 164922 c,3.66,0.95
HD 164922 d,1.83,0.95
HD 164922 e,3.23,1
HD 165131 b,12.1,1.06
HD 165155 b,13.2,0.95
HD 1666 b,12.7,1.93
HD 166724 b,13,0.8
HD 167042 b,13.5,4.3
HD 167677 b,13.2,0.95
HD 167768 b,13.9,9.7
HD 168009 b,3.05,1.21
HD 168443 b,12.6,1.71
HD 168443 c,12.2,1.71
HD 168746 b,11.1,1.09
HD 168863 b,12.7,0.78
HD 1690 b,12.5,21.66
HD 16905 b,12.5,0.77
HD 169830 b,13.2,1.94
HD 169830 c,12.6,1.94
HD 170469 b,14.1,1.24
HD 17092 b,12.5,13.58
HD 171028 b,13.2,2.47
HD 171238 b,12.5,1.01
HD 17156 b,12.33,1.55
HD 173416 b,13.2,13.5
HD 174205 b,13,26.6
HD 175167 b,12.7,1.75
HD 175541 b,14.1,4.19
HD 175607 b,2.94,0.7
HD 17674 b,13.9,1.18
HD 176986 b,2.26,0.78
HD 176986 c,2.98,0.78
HD 177565 b,4,0.97
HD 177830 b,13.5,3.26
HD 177830 c,7.87,2.62
HD 178911 B b,12.6,1.08
HD 179079 b,5.48,1.63
HD 179949 b,13.9,1.27
HD 180053 b,13.3,4.06
HD 18015 b,13.1,3.13
HD 180314 b,12.1,8.13
HD 180617 b,3.53,0.48
HD 180902 b,13.5,4.16
HD 181234 b,12.5,1.06
HD 181342 b,13.2,4.71
HD 18143 b,3.28,0.87
HD 18143 c,12.5,0.87
HD 181433 b,2.4,0.79
HD 181433 c,14.1,0.81
HD 181433 d,14.2,0.81
HD 181720 b,14,1.5
HD 183263 b,13.1,1.23
HD 183263 c,12.5,1.29
HD 184010 b,12.1,4.86
HD 184010 c,11.8,4.86
HD 184010 d,14.3,4.86
HD 18438 b,12.1,88.48
HD 185269 b,13.8,2
HD 187085 b,13.9,1.27
HD 187123 b,14.2,1.15
HD 187123 c,13.4,1.15
HD 18742 b,13.1,5.13
HD 188015 b,13.6,1.13
HD 188641 b,11.9,1.94
HD 189567 b,2.85,1.04
HD 189567 c,2.54,1.04
HD 189733 b,12.666,0.75
HD 190007 b,4.21,0.79
HD 190228 b,12.9,2.59
HD 190360 b,13.4,1.14
HD 190360 c,4.59,1.17
HD 190647 b,13.4,1.38
HD 190984 b,13,1.53
HD 191806 b,12.5,1.4
HD 191939 e,13,0.94
HD 191939 f,13.4,0.94
HD 191939 g,3.74,0.94
HD 192263 b,14.2,0.74
HD 192310 b,4.27,0.86
HD 192310 c,5.25,0.81
HD 192699 b,13.4,4.41
HD 194490 b,12.4,1.15
HD 195019 b,13,1.48
HD 196050 b,12.9,1.42
HD 196067 b,12.3,1.73
HD 19615 b,12.6,32.3
HD 196885 A b,13.2,1.31
HD 197037 b,13.9,1.1
HD 199509 b,7.43,0.92
HD 19994 b,13.6,1.8
HD 20003 b,3.43,0.92
HD 20003 c,3.89,0.92
HD 200964 b,13.5,4.92
HD 200964 c,13.7,4.92
HD 202206 c,12.2,1.04
HD 203387 b,13.1,10.59
HD 203387 c,12.6,10.59
HD 2039 b,12.7,1.19
HD 204313 b,12.9,1.1
HD 204313 c,4.31,1.13
HD 204313 e,12.2,1.13
HD 204941 b,10.1,0.78
HD 205158 b,13.9,1.88
HD 205739 b,13.6,1.33
